Sentence,Annotation
I like the Nanga Parbat more than I like the sea.,O O O B-MNTN I-MNTN O O O O O O
It's so grey out there that I can't see the Mount Rainier on the other side of the valley.,O O O O O O O O O O B-MNTN I-MNTN O O O O O O O
"With these eyes, I shall see Ben Nevis burn.",O O O O O O B-MNTN I-MNTN O
"The Mount Fuji could be seen from afar, and it was a breathtaking sight.",O B-MNTN I-MNTN O O O O O O O O O O O
My parents met each other in the Mount Everest.,O O O O O O O B-MNTN I-MNTN
We're taking a crash course in first aid before our two-week trek through the Matterhorn.,O O O O O O O O O O O O O O B-MNTN
The Mount Everest were all around the city.,O B-MNTN I-MNTN O O O O O
Tom loves to climb Ben Nevis.,O O O O B-MNTN I-MNTN
The lake is surrounded by Mount Elbert.,O O O O O B-MNTN I-MNTN
Tom's dream is to live in the Mount Elbert.,O O O O O O O B-MNTN I-MNTN
